source_x,title,abstract,publish_time,authors,journal
Medline,Pediatric Acute Lung Injury Epidemiology and Natural History study: Incidence and outcome of the acute respiratory distress syndrome in children.,"OBJECTIVES The incidence and outcome of the acute respiratory distress syndrome in children are not well-known, especially under current ventilatory practices. The goal of this study was to determine the incidence, etiology, and outcome of acute respiratory distress syndrome in the pediatric population in the setting of lung protective ventilation. DESIGN A 1-yr, prospective, multicenter, observational study in 12 geographical areas of Spain (serving a population of 3.77 million ≤ 15 yrs of age) covered by 21 pediatric intensive care units. SUBJECTS All consecutive pediatric patients receiving invasive mechanical ventilation and meeting American-European Consensus Criteria for acute respiratory distress syndrome. INTERVENTIONS None. MEASUREMENTS AND MAIN RESULTS Data on ventilatory management, gas exchange, hemodynamics, and organ dysfunction were collected. A total of 146 mechanically ventilated patients fulfilled the acute respiratory distress syndrome definition, representing a incidence of 3.9/100,000 population ≤ 15 yrs of age/yr. Pneumonia and sepsis were the most common causes of acute respiratory distress syndrome. At the time of meeting acute respiratory distress syndrome criteria, mean PaO2/FIO2 was 99 mm Hg ± 41 mm Hg, mean tidal volume was 7.6 mL/kg ± 1.8 mL/kg predicted body weight, mean plateau pressure was 27 cm H2O ± 6 cm H2O, and mean positive end-expiratory pressure was 8.9 cm ± 2.9 cm H2O. Overall pediatric intensive care unit and hospital mortality were 26% (95% confidence interval 19.6-33.7) and 27.4% (95% confidence interval 20.8-35.1), respectively. At 24 hrs, after the assessment of oxygenation under standard ventilatory settings, 118 (80.8%) patients continued to meet acute respiratory distress syndrome criteria (PaO2/FIO2 104 mm Hg ± 36 mm Hg; pediatric intensive care units mortality 30.5%), whereas 28 patients (19.2%) had a PaO2/FIO2 >200 mm Hg (pediatric intensive care units mortality 7.1%) (p = .014). CONCLUSIONS This is the largest study to estimate prospectively the pediatric population-based acute respiratory distress syndrome incidence and the first incidence study performed during the routine application of lung protective ventilation in children. Our findings support a lower acute respiratory distress syndrome incidence and mortality than those reported for adults. PaO2/FIO2 ratios at acute respiratory distress syndrome onset and at 24 hrs after onset were helpful in defining groups at greater risk of dying (clinical trials registered with http://www.clinicaltrials.gov; NCT 01142544).",2012,"López-Fernández, Yolanda; Azagra, Amelia Martínez-de; de la Oliva, Pedro; Modesto, Vicent; Sánchez, Juan I; Parrilla, Julio; Arroyo, María José; Reyes, Susana Beatriz; Pons-Ódena, Martí; López-Herce, Jesús; Fernández, Rosa Lidia; Kacmarek, Robert M; Villar, Jesús",Critical care medicine
Medline,Pediatric Percutaneous Osteoid Osteoma Ablation: Cone-Beam CT with Fluoroscopic Overlay Versus Conventional CT Guidance.,"PURPOSE To compare technical success, clinical success, complications, radiation dose, and total room utilization time for osteoid osteoma thermal (radiofrequency or microwave) ablation using cone-beam computed tomography (CBCT) with two-axis fluoroscopic navigational overlay versus conventional computed tomography (CT) guidance. MATERIALS AND METHODS A retrospective review was performed to identify all osteoid osteoma ablations performed over a 5.5-year period at a single tertiary care pediatric hospital. Twenty-five ablations (15 radiofrequency and 10 microwave) in 23 patients undergoing fluoroscopic CBCT-guided osteoid osteoma ablation were compared to 35 ablations (35 radiofrequency) in 32 patients undergoing ablation via conventional CT guidance. Dose area product and dose length product were recorded for CBCT and conventional CT, respectively, and converted to effective doses. Technical success, clinical success (cessation of pain and medication use 1 month after ablation), complications, radiation dose, and total room utilization time were compared. RESULTS All procedures were technically successful. Twenty-two of 25 (88.0%) CBCT and 31 of 35 (88.6%) conventional CT-guided ablations achieved immediate clinical success. There were two minor complications in each group and no major complications. Mean effective radiation dose was significantly lower for CBCT compared to CT guidance (0.12 vs. 0.39 mSv, p = 0.02). Mean total room utilization time for CBCT was longer (133.5 vs. 97.5 min, p = 0.0001). CONCLUSIONS Fluoroscopic CBCT guidance for percutaneous osteoid osteoma ablation yields similar technical and clinical success, reduced radiation dose, and increased total room utilization time compared to conventional CT guidance.",2017,"Perry, Brandon C; Monroe, Eric J; McKay, Tyler; Kanal, Kalpana M; Shivaram, Giridhar",Cardiovascular and interventional radiology
WHO,"Communication, transparency key as Canada faces new coronavirus threat",,2020,"Glauser, Wendy",CMAJ
PMC,Datenplattformökosysteme,"Platform ecosystems have become a source of sustained competitive advantages over pipeline models. A platform consists of a platform core (such as a smartphone operating system, a marketplace or a music streaming service) which is controlled by the platform owner who orchestrates the relationship between customers and providers (e.g. the distribution of goods, apps or music to end-users). Recently, the utilization and monetization of data has been significantly increasing. While some sources report the existence of data platforms as technical repositories to distribute data, the literature is sparse in discussing the role of data in platform ecosystems or outlining the existence of data platform ecosystems. By combining the technical concept of a data platform with the one of a platform ecosystem, a data platform ecosystem emerges. It comprises a platform ecosystem that facilitates the recombination and exchange of data around a stable core between a wide range of complements of data providers and prospective customers. To understand the characteristics of data platform ecosystems, we will elaborate on the concepts of data modularity, data quality, disposal and usage rights of data as well as ways to address the information paradox inherent to data. Based on these key properties, we illustrate the emergence of data platform ecosystems through two case examples and suggest avenues for future research.",2021-03-29,"Kramberg, Philipp; Heinzl, Armin",HMD
WHO,Detection of SARS-CoV-2 in respiratory samples from cats in the UK associated with human-to-cat transmission,"OBJECTIVES: The aim of the study was to find evidence of SARS-CoV-2 infection in UK cats. DESIGN: Tissue samples were tested for SARS-CoV-2 antigen using immunofluorescence and for viral RNA by in situ hybridisation. A set of 387 oropharyngeal swabs that had been submitted for routine respiratory pathogen testing was tested for SARS-CoV-2 RNA using reverse transcriptase quantitative PCR. RESULTS: Lung tissue collected post-mortem from cat 1 tested positive for both SARS-CoV-2 nucleocapsid antigen and RNA. SARS-CoV-2 RNA was detected in an oropharyngeal swab collected from cat 2 that presented with rhinitis and conjunctivitis. High throughput sequencing of the viral genome revealed five single nucleotide polymorphisms (SNPs) compared to the nearest UK human SARS-CoV-2 sequence, and this human virus contained eight SNPs compared to the original Wuhan-Hu-1 reference sequence. An analysis of the viral genome of cat 2 together with nine other feline-derived SARS-CoV-2 sequences from around the world revealed no shared cat-specific mutations. CONCLUSIONS: These findings indicate that human-to-cat transmission of SARS-CoV-2 occurred during the COVID-19 pandemic in the UK, with the infected cats developing mild or severe respiratory disease. Given the ability of the new coronavirus to infect different species, it will be important to monitor for human-to-cat, cat-to-cat and cat-to-human transmission.",2021,"Hosie, Margaret J; Epifano, Ilaria; Herder, Vanessa; Orton, Richard J; Stevenson, Andrew; Johnson, Natasha; MacDonald, Emma; Dunbar, Dawn; McDonald, Michael; Howie, Fiona; Tennant, Bryn; Herrity, Darcy; Da Silva Filipe, Ana; Streicker, Daniel G; Willett, Brian J; Murcia, Pablo R; Jarrett, Ruth F; Robertson, David L; Weir, William",Vet Rec
WHO,Poster Abstracts,,2020,"Anonymous,",American Journal of Transplantation
Medline,Surgery and COVID-19.,,2020-09-22,"Kibbe, Melina R",JAMA
WHO,"Asian Embodiment as Victim and Survivor: Surveillance, Racism, and Race during COVID",,2021,"Korn, J. U.",Surveillance & Society
ArXiv,Epidemic processes with vaccination and immunity loss studied with the BLUES function method,"The Beyond-Linear-Use-of-Equation-Superposition (BLUES) function method is extended to coupled nonlinear ordinary differential equations and applied to the epidemiological SIRS model with vaccination. Accurate analytic approximations are obtained for the time evolution of the susceptible and infected population fractions. The results are compared with those obtained with alternative methods, notably Adomian decomposition, variational iteration and homotopy perturbation. In contrast with these methods, the BLUES iteration converges rapidly, globally, and captures the exact asymptotic behavior for long times. The time of the infection peak is calculated using the BLUES approximants and the results are compared with numerical solutions, which indicate that the method is able to generate useful analytic expressions that coincide with the (numerically) exact ones already for a small number of iterations.",2021-06-30,"Berx, Jonas; Indekeu, Joseph O",
Medline; PMC,Maximising application of the aerosol box in protecting healthcare workers during the COVID‐19 pandemic,"We report the rapid evolution of the Aerosol Box, originally designed by Dr Hsien Yung Lai, Mennonite Christian Hospital, Taiwan [1]. The Aerosol Box was intended to protect healthcare workers performing aerosol generating procedures (AGPs), specifically tracheal intubation, by providing a physical barrier to droplet and/or aerosol exposure [2]. An increased infection rate has been reported in healthcare workers internationally, particularly when the level of personal protective equipment (PPE) has been inadequate or when the supply of PPE has been depleted [3]. The Aerosol Box can be made of transparent acrylic or polycarbonate sheeting, and is re-usable after careful decontamination with an appropriate cleansing agent. The original model was based on a simple cuboid design, with two access ports for arms.",2020-05-16,"Malik, J. S.; Jenner, C.; Ward, P. A.",Anaesthesia
WHO,Laboratory Preparedness To Support The COVID-19 Pandemic Respond In Indonesia,"Penyakit jenis baru COVID-19 yang disebabkan oleh virus corona menjadi sebuah pandemic di akhir tahun 2019 Kota Wuhan (China) merupakan lokasi pertama terdeteksinya kasus COVID-19 Tanpa adanya kecurigaan apapun penyakit ini dengan cepatnya menyebar ke seluruh dunia mengikuti alur mobilitas manusia Dalam kondisi tersebut sistem kesehatan di setiap negara tampak kelabakan khususnya dalam pengendalian transmisi penyakit Studi ini ingin mengidentifikasi kesiapan jejaring laboratorium kesehatan di Indonesia Metode: Penilaian cepat dilakukan terhadap ketersediaan dan kesiapan laboratoriaum dalam pennanganan pandemi COVID-19 Pengumpulan data dilakukan melalui pengisian questioner yang dikirim secara elektronik Waktu pelaksanaan adalah minggu ketiga dan keempat, Maret 2020 Terdapat 44 laboratorium jejaring laboratorium dibawah Kementerian Kesehatan yang menjadi subjek penelitian, dan sebanyak 33 yang merespon secara lengkap Variabel ketersediaan, kecukupan dan kebutuhan bahan dan alat Hasil: Jejaring laboratorium kesehatan dibawah Kementerian Kesehatan sudah terbentuk sejak tahun 2009 Dengan terjadinya pandemic COVID-19 Surat Keputusan Menteri Kesehatan telah direvisi hingga dua kali agar dapat meningkatkan kapasitas dan memperluas jejaring ke seluruh wilayah NKRI Hasil studi menunjukkan, laboratorium jejaring dibawah Kementerian Kesehatan belum siap dalam menghadapi pandemic COVID-19 Dua jenis laboratorium jejaring yaitu laboratorium surveillans maupun laboratorium diagnostic memiliki kondisi yang sama Ketersediaan bahan dan alat laboratorium standar masih tergolong rata-rata, bahkan dari sisi kecukupannyapun masih jauh dibawah kapasitas kebutuhan dalam penanganan specimen COVID-19 Kondisi yang sama juga tampak untuk bahan pendukung laboratorium termasuk alat pelindung diri untuk petugas Kesimpulan: Kesiapan laboratorium sebagai bagian dari system kesehatan dalam kondisi pandemic masih lemah Keberadaan alat penunjang diagnose khususnya untuk penyakit menular harus dilengkapi sesuai dengann type laboratorium Pandemi COVID-19 menjadi alarm dalam menghadapi era baru dan antisipasi masalah dimasa yang akan datang Kata kunci: Kesiapan laboratorium, COVID-19, Indonesia Abstract Background: A novel coronavirus disease called COVID-19 has become pandemic in late 2019 Wuhan City was the first place detected as the source of the pandemic Without suspicion, it spreads over the world, along with human mobility In such a condition, every country seems quite stuttering to prepare its health system to prevent its people from the possible transmission This paper aims to describe the preparedness of the networking laboratory in Indonesia Methods: We conducted a rapid assessment of laboratory availability and preparedness to respond to the COVID-19 pandemic We held the data collection on the third and fourth week of March 2020 by sending an electronic questionnaire to all 44 networking laboratories under the Ministry of Health structure The variables assessed in this study were the availability and the requirements of the COVID-19 related laboratory's substances, including reagents and other equipment types Results: The Ministry of Health established the networking laboratory in 2009, but due to the COVID-19 pandemic, it has renewed twice to enhance and expand the laboratory capacities over the country Our studies showed preparedness among networking laboratories in Indonesia regarding this new emerging COVID-19 condition was quite devastating Both surveillance and diagnostic laboratories have a similar situation The availability of their primary materials was mediocre, but the adequacy was far beyond the capacity in handling the COVID-19 specimen We found a similar case in the laboratory, supporting materials, and personal protective equipment (PPE) Conclusion: Laboratory preparedness during initial period of time of the COVID-19 pandemic as part of the health system is still weak The availability of the necessary equipment, supporting materials, and personal protective equipment are far beyond the requirements The COVID-19 has alarmed the laboratory and the whole health system in Indonesia into a new era with better future preparedness Keywords: laboratory preparedness, COVID-19, Indonesia",2020,"Mulyani, Ully Adhie; Su039,; Udi, Amir; Setiawaty, Vivi; Aryastami, Ketut; Suwandono, Agus; Puspandari, Nelly; Syachroni, Syachroni; Susilawati, Made Dewi; Hendarwan, Harimat",Health Science Journal Of Indonesia
